Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:01,000",آه يعني أنت تخينة شوي؟,آه يعني أنت تخينة شوي؟,"Oh, I mean, you are a little bit?",curiosity,mild
"00:00:01,000","00:00:04,000",أنت رود أو بجح أو وقح,أنت رود أو بجح أو وقح,"You are a rod, or a rude, or a rude",confusion,moderate
"00:00:04,000","00:00:06,000",ده The Blind Date Show,ده The Blind Date Show,ده The Blind Date Show,neutral,neutral
"00:00:06,000","00:00:08,000",ودول اتنين مايعرفوش بعض,ودول اتنين مايعرفوش بعض,ودول اتنين مايعرفوش بعض,neutral,neutral
"00:00:16,000","00:00:17,000",كل واحد فيهم مش شايف التاني,كل واحد فيهم مش شايف التاني,كل واحد فيهم مش شايف التاني,neutral,neutral
"00:00:17,000","00:00:19,000",وبينهم الحيطة دي,وبينهم الحيطة دي,وبينهم الحيطة دي,neutral,neutral
"00:00:19,000","00:00:22,000",البلاين ديت بتاعنا عبارة عن ثري راونز,البلاين ديت بتاعنا عبارة عن ثري راونز,The Black Diet is our riche,confusion,moderate
"00:00:22,000","00:00:25,000",كل راونز بينزل لهم موضوع لازم يتكلموا فيه,كل راونز بينزل لهم موضوع لازم يتكلموا فيه,كل راونز بينزل لهم موضوع لازم يتكلموا فيه,neutral,neutral
"00:00:25,000","00:00:27,000",المواضيع ديها علاقة بالجواز,المواضيع ديها علاقة بالجواز,Topics have a relationship with the passport,neutral,neutral
"00:00:27,000","00:00:28,000",لبس,لبس,clothes,neutral,neutral
"00:00:28,000","00:00:28,000",فلوس,فلوس,money,neutral,neutral
"00:00:28,000","00:00:29,000",شغل,شغل,Job,neutral,neutral
"00:00:29,000","00:00:30,000",وحاجات تانية كتير,وحاجات تانية كتير,وحاجات تانية كتير,neutral,neutral
"00:00:30,000","00:00:31,000",بعد كل راوند,بعد كل راوند,Then the whole,neutral,neutral
"00:00:31,000","00:00:33,000",كل واحد بيدي التاني ريتينغ,كل واحد بيدي التاني ريتينغ,كل واحد بيدي التاني ريتينغ,neutral,neutral
"00:00:33,000","00:00:36,000",على حسب هم شبه بعض الدي إيه في الراوند دي,على حسب هم شبه بعض الدي إيه في الراوند دي,"According to them, they are almost some DA in Rhond",confusion,moderate
"00:00:36,000","00:00:39,000",وفي الآخر قبل ما كل واحد يعرف كان قاعد في ديت مع مين,وفي الآخر قبل ما كل واحد يعرف كان قاعد في ديت مع مين,"And in the other before everyone knows, he was sitting in Diet with Maine",confusion,moderate
"00:00:39,000","00:00:41,000",بيقرروا لو هينزلوا ديت تاني ولا لا,بيقرروا لو هينزلوا ديت تاني ولا لا,They decide if you will go back again or not,curiosity,mild
"00:00:41,000","00:00:44,000",كتير من تاني,كتير من تاني,كتير من تاني,neutral,neutral
"00:00:59,000","00:00:59,000",هاي,هاي,هاي,neutral,neutral
"00:00:59,000","00:01:00,000",هاي,هاي,هاي,neutral,neutral
"00:01:00,000","00:01:02,000",وأخيراً قدرت أحكي,وأخيراً قدرت أحكي,"Finally, I was able to tell",relief,mild
"00:01:02,000","00:01:03,000",إزايك؟,إزايك؟,How?,curiosity,mild
"00:01:03,000","00:01:04,000",تمام إزايك أنت؟,تمام إزايك أنت؟,"Okay, how are you?",neutral,neutral
"00:01:04,000","00:01:05,000",الأخبار,الأخبار,News,neutral,neutral
"00:01:05,000","00:01:07,000",تمام الأخبار عم بقايا؟,تمام الأخبار عم بقايا؟,"Good news, residues?",curiosity,mild
"00:01:07,000","00:01:09,000",أنت مش مصري,أنت مش مصري,You are not Egyptian,neutral,neutral
"00:01:09,000","00:01:10,000",أنا مش مصري,أنا مش مصري,I am not an Egyptian,neutral,neutral
"00:01:11,000","00:01:12,000",منين؟,منين؟,From where?,curiosity,mild
"00:01:12,000","00:01:14,000",يعني ممكن هيك لقدام أشوف إذا بتحزني,يعني ممكن هيك لقدام أشوف إذا بتحزني,"I mean, it is possible for you to see if you are sad",curiosity,mild
"00:01:14,000","00:01:15,000",هيك؟,هيك؟,Heck?,confusion,mild
"00:01:15,000","00:01:16,000",يبقى لبنان,يبقى لبنان,Lebanon remains,neutral,neutral
"00:01:16,000","00:01:16,000",لبناني؟,لبناني؟,Lebanese?,curiosity,mild
"00:01:16,000","00:01:17,000",أجل,أجل,Okay,neutral,neutral
"00:01:17,000","00:01:18,000",سوريا؟,سوريا؟,Syria?,curiosity,mild
