Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:03,000",مشيرة طمنينا أموري كويسة وكل شيء تمام,مشيرة طمنينا أموري كويسة وكل شيء تمام,"Mushir, we reassure my good things, and everything is completely",neutral,neutral
"00:00:03,000","00:00:05,000",يا أهلا وسهلا,يا أهلا وسهلا,Oh welcome,neutral,neutral
"00:00:05,000","00:00:06,000",متزوجة مشيرة؟,متزوجة مشيرة؟,"Married, indicated?",curiosity,mild
"00:00:06,000","00:00:07,000",نعم,نعم,Yes,neutral,neutral
"00:00:07,000","00:00:08,000",شو عنديك أولاد؟,شو عنديك أولاد؟,What do you have children?,curiosity,mild
"00:00:08,000","00:00:09,000",عندي بنتين,عندي بنتين,I have two girls,neutral,neutral
"00:00:09,000","00:00:10,000",ما شاء الله الله يخليهم,ما شاء الله الله يخليهم,"God willing, may God bless them",caring,mild
"00:00:10,000","00:00:11,000",شو أسماءهم؟,شو أسماءهم؟,What are their names?,curiosity,mild
"00:00:11,000","00:00:14,000",الكبيرة اسمها رهف والصغيرة اسمها مونة,الكبيرة اسمها رهف والصغيرة اسمها مونة,The big name is Rahaf and the small is her name,neutral,neutral
"00:00:14,000","00:00:15,000",رهف ومونة؟,رهف ومونة؟,Rahaf and mortar?,confusion,mild
"00:00:15,000","00:00:17,000",أهلا وسهلا فيكي,أهلا وسهلا فيكي,Welcome to you,neutral,neutral
"00:00:17,000","00:00:26,000",مشيرة عندها مشكلة مع صديقة مشاعر ولكن هالمشكلة صار عمرها الآن خمس سنوات,مشيرة عندها مشكلة مع صديقة مشاعر ولكن هالمشكلة صار عمرها الآن خمس سنوات,"Noting a problem with a friend of feelings, but this problem is now five years old",sadness,mild
"00:00:26,000","00:00:32,000",خمس سنوات صديقتان صديقتها عمر ما بيحكوا بقى مع بعض,خمس سنوات صديقتان صديقتها عمر ما بيحكوا بقى مع بعض,"Five years old girlfriends, Omar, do not tell each other",disappointment,moderate
"00:00:32,000","00:00:35,000",رح أقول لكم شو سبب الخلاف,رح أقول لكم شو سبب الخلاف,I will tell you what is the reason for the dispute,curiosity,mild
"00:00:35,000","00:00:39,000",أولاً كانوا عايشين بالسودان مع بعض وقراب,أولاً كانوا عايشين بالسودان مع بعض وقراب,أولاً كانوا عايشين بالسودان مع بعض وقراب,neutral,neutral
"00:00:39,000","00:00:45,000",تزوجت مشاعر وجاءت إلى مصر هي وزوجها وعاشت في مصر,تزوجت مشاعر وجاءت إلى مصر هي وزوجها وعاشت في مصر,She married feelings and came to Egypt and her husband and lived in Egypt,neutral,neutral
"00:00:45,000","00:00:51,000",بعد فترة تزوجت مشيرة ثم هي أيضاً مع زوجها إجوا على مصر,بعد فترة تزوجت مشيرة ثم هي أيضاً مع زوجها إجوا على مصر,"After a while she got married, then she was also with her husband, I came to Egypt",neutral,neutral
"00:00:51,000","00:00:56,000",في مصر يعني صار في مشاكل بين مشيرة وزوجها,في مصر يعني صار في مشاكل بين مشيرة وزوجها,"In Egypt, I mean, it has become in problems between Mashir and her husband",,
"00:00:56,000","00:01:01,000",باعتبار أنه هما صديقات يعني مشيرة ومشاعر,باعتبار أنه هما صديقات يعني مشيرة ومشاعر,"Considering that they are friends, I mean, indicating and feelings",neutral,neutral
"00:01:01,000","00:01:06,000",قامت مشاعر ببعض المسائل حميدة بين مشيرة وزوجها,قامت مشاعر ببعض المسائل حميدة بين مشيرة وزوجها,Feelings made some benign issues between Mashir and her husband,disapproval,moderate
"00:01:06,000","00:01:17,000",هون مشيرة شكت بصديقتها ويمكن اتهمتها ضملاً وأعلناً أنه مشاعر على العلاقة مع زوجها,هون مشيرة شكت بصديقتها ويمكن اتهمتها ضملاً وأعلناً أنه مشاعر على العلاقة مع زوجها,"Hoon, Mushira, complained about her friend and can be accused of guarantee and announced that he is feelings of the relationship with her husband",anger,intense
"00:01:17,000","00:01:23,000",طور هالخلاف طور بين الصديقتين صار فيه مشادات بين بعض,طور هالخلاف طور بين الصديقتين صار فيه مشادات بين بعض,"This disagreement has developed between the two friends, in which there are arguments between some",sadness,moderate
"00:01:23,000","00:01:31,000",انفصلها عن بعض بعده زعلت مشاعر لأنه صديقتها مشيرة اتهمتها بعلاقة مع زوجها,انفصلها عن بعض بعده زعلت مشاعر لأنه صديقتها مشيرة اتهمتها بعلاقة مع زوجها,"She separated from some of him, she was upset with feelings because she is her friend, indicating her relationship with her husband",sadness,moderate
"00:01:31,000","00:01:35,000",وهذا الخلاف مستمر منذ خمس سنوات,وهذا الخلاف مستمر منذ خمس سنوات,This dispute has been going on for five years,annoyance,intense
"00:01:35,000","00:01:45,000",حاولت أنه يصير في صلح جربت أنه تطلبي السماح منها ترجعيها صديقتك لمشاعر,حاولت أنه يصير في صلح جربت أنه تطلبي السماح منها ترجعيها صديقتك لمشاعر,"I tried to become a peace, I tried that you were asking for her to return to your girlfriend for feelings",,
"00:01:45,000","00:01:55,000",كتير حاولت بس هي رفضت ووصلت من الاهل ووصلت من الازدقاء فهي رفضت بشدة,كتير حاولت بس هي رفضت ووصلت من الاهل ووصلت من الازدقاء فهي رفضت بشدة,"Many tried, but she refused, arrived from the family, and I arrived from the dignity, as it was strongly refused",disappointment,intense
"00:01:55,000","00:02:01,000",معها الحق طبعاً لأنه الحكاية مستهلة لايحد يتقبلها,معها الحق طبعاً لأنه الحكاية مستهلة لايحد يتقبلها,"She has the right, of course, because the story is a matter of not limited it to accept it",approval,mild
"00:02:01,000","00:02:04,000",كيف اتهمتها أمام الناس أمام البلد,كيف اتهمتها أمام الناس أمام البلد,How did you accuse her in front of people in front of the country,anger,intense
"00:02:04,000","00:02:06,000",والله في طرف ثالث,والله في طرف ثالث,God is on a third party,neutral,neutral
"00:02:06,000","00:02:08,000",يعني خبر خلافكم وصل على السودان,يعني خبر خلافكم وصل على السودان,"I mean, the news of your dispute has reached Sudan",surprise,moderate
